序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部,营业部订单编号
15,88867197,点钢投资点睿5号,134608866,000000000154,DCE,p2609,棕榈油2609,    卖,平仓,9726,2,全部成交,9736.0,2,0,0,14:26:00,,14:26:00,20260428 14:26:00,5.03,-1050.00,-1200.00,投机,GFD,Python[P12],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
14,88867197,点钢投资点睿5号,133325196,000000000146,DCE,p2609,棕榈油2609,买,开仓,9747,1,全部成交,9747.0,1,0,0,14:15:05,,14:15:05,20260428 14:15:05,2.52,--,--,投机,GFD,Python[P12],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
13,88867197,点钢投资点睿5号,133312256,000000000130,DCE,p2609,棕榈油2609,买,开仓,9746,1,撤单,,0,1,0,14:15:00,14:15:05,, ,--,--,--,投机,GFD,Python[P12],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
12,88867197,点钢投资点睿5号,63779133,000000000122,SHFE,hc2610,热轧卷板2610,买,开仓,3379,4,全部成交,3379.0,4,0,0,14:15:00,,14:15:05,20260428 14:15:05,13.56,--,--,投机,GFD,Python[P10],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
11,88867197,点钢投资点睿5号,126257307,000000000114,DCE,pp2609,聚丙烯2609,    卖,平仓,8669,4,全部成交,8674.3,4,0,0,11:29:00,,11:29:00,20260428 11:29:00,4.05,3345.00,2235.00,投机,GFD,Python[P13],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
10,88867197,点钢投资点睿5号,124847927,000000000106,DCE,p2609,棕榈油2609,买,开仓,9701,1,全部成交,9701.0,1,0,0,11:15:00,,11:15:00,20260428 11:15:00,2.52,--,--,投机,GFD,Python[P12],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
9,88867197,点钢投资点睿5号,117814709,000000000098,DCE,pp2609,聚丙烯2609,买,开仓,8579,4,全部成交,8579.0,4,0,0,10:00:05,,10:00:05,20260428 10:00:05,4.05,--,--,投机,GFD,Python[P13],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
8,88867197,点钢投资点睿5号,117796532,000000000082,DCE,pp2609,聚丙烯2609,买,开仓,8575,4,撤单,,0,4,0,10:00:00,10:00:05,, ,--,--,--,投机,GFD,Python[P13],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
7,88867197,点钢投资点睿5号,31285051,000000000074,SHFE,hc2610,热轧卷板2610,    卖,平今,3381,4,全部成交,3386.0,4,0,0,09:10:00,,09:10:00,20260428 09:10:00,13.59,-280.00,-280.00,投机,GFD,Python[P10],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
6,88867197,点钢投资点睿5号,111546545,000000000066,DCE,p2609,棕榈油2609,    卖,平仓,9757,2,全部成交,9767.0,2,0,0,09:08:00,,09:08:00,20260428 09:08:00,5.03,-1000.00,-1310.00,投机,GFD,Python[P12],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,-385873718,,
